Город;Регион;Федеральный округ;lat;lng
Андреаполь;Тверская область;Центральный;56,65079;32,262023
Бежецк;Тверская область;Центральный;57,78567;36,693871
Белый;Тверская область;Центральный;55,83385;32,938805
Бологое;Тверская область;Центральный;57,885626;34,053776
Весьегонск;Тверская область;Центральный;58,658355;37,259019
ВышнийВолочёк;Тверская область;Центральный;61,006355;36,449511
ЗападнаяДвина;Тверская область;Центральный;69,400373;32,450139
Зубцов;Тверская область;Центральный;56,176143;34,58256
Калязин;Тверская область;Центральный;57,240412;37,855078
Кашин;Тверская область;Центральный;57,358381;37,61344
Кимры;Тверская область;Центральный;56,873338;37,355678
Конаково;Тверская область;Центральный;56,713217;36,779309
КрасныйХолм;Тверская область;Центральный;56,010563;92,852572
Кувшиново;Тверская область;Центральный;57,028957;34,165877
Лихославль;Тверская область;Центральный;57,122219;35,466808
Нелидово;Тверская область;Центральный;56,223296;32,776587
Осташков;Тверская область;Центральный;57,142872;33,115441
Ржев;Тверская область;Центральный;56,262877;34,329065
Старица;Тверская область;Центральный;56,514927;34,933586
Тверь;Тверская область;Центральный;56,859611;35,911896
Торжок;Тверская область;Центральный;57,041338;34,96014
Торопец;Тверская область;Центральный;56,501173;31,635466
Удомля;Тверская область;Центральный;57,876779;35,00511
